entity_name,entity_type
"EBRAHIMI, Hasan Dehghan",Individual
"MINA'I, Mohammad",Individual
SYRIAN ARAB AIRLINES,Entity
BAQIYATTALLAH UNIVERSITY OF MEDICAL SCIENCES,Entity
IMAM HOSSEIN UNIVERSITY,Entity
"TEHRAN GOSTARESH COMPANY, P.J.S.",Entity
"HEMMATI, Alireza",Individual
"AFKHAMI RASHIDI, Mahmud",Individual
"MUSAVI, Sayyed Kamal",Individual
"SEYED ALHOSSEINI, Akbar",Individual
"NEJAT, Hossein",Individual
"JAVANI, Yadollah",Individual
"RAZAVI, Esma'il",Individual
"SHAFAHI, Ahmad",Individual
"NILFORUSHAN, Abbas",Individual
SHAHED AVIATION INDUSTRIES RESEARCH CENTER,Entity
"OSANLOO, Mohammad Taghi",Individual
"ASGARI, Hassan",Individual
"HOSSEINI, Seyed Sadegh",Individual
"MAROUFI, Hossein",Individual
"HASSANZADEH, Hassan",Individual
BONYAD TAAVON SEPAH,Entity
"ALA'ODDINI, Yahya",Individual
"TANAVAR, Hossein",Individual
"FADA, Mojtaba",Individual
"NOROUZI, Aliasghar",Individual
"KARIMI, Ahmad",Individual
"TABATABAI, Seyyed Aminollah Emami",Individual
"BABAMORADI, Jamal",Individual
"TANGSIRI, Ali Reza",Individual
"MOUSA, Mohammad Sadegh Heidari",Individual
"SHAHSAVARI, Habib",Individual
"SEYEDOSHOHADA, Ahmad Khadem",Individual
"GOSHTASBI, Amanollah",Individual
"ABSALAN, Parviz",Individual
"KAZEMI, Mohammad",Individual
"SAYYARI, Mohammad Mehdi",Individual
"MOHAGHEGHI, Mohammad Hassan",Individual
"BAZGHANDI, Rouhollah",Individual
"GHOLIZADEH, Majid",Individual
"SALIMI, Hosein",Individual
TASNIM NEWS AGENCY,Entity
"SHAKARAMI, Jamal",Individual
"MAJIDI, Mazaher",Individual
"SARANI, Khodarahm",Individual
"REYHANI, Bahman",Individual
"GHEIB PARVAR, Gholamhossein",Individual
"MOGHADAM FAR, Hamidreza",Individual
"ABDOLLAHPOUR, Mohammad",Individual
"POURJAMSHIDIAN, Ali Akbar",Individual
FARS NEWS AGENCY,Entity
SABERIN KISH COMPANY,Entity
"KHANI, Mostafa Mohammad",Individual
"SHIRAZI, Ali Morshed",Individual
"FAIZULLAHI, Ali Ahmad",Individual
"JAHANDUST, Mojtaba",Individual
"ZAREE, Majid",Individual
BASAMAD ELECTRONIC POUYA ENGINEERING LIMITED LIABILITY COMPANY,Entity
ARTA WAVE SDN BHD,Entity
NAVA HOBBIES SDN BHD,Entity
TEYF TADBIR ARYA ENGINEERING COMPANY,Entity
INTEGRATED SCIENTIFIC MICROWAVE TECHNOLOGY SDN BHD,Entity
"ARDAKANI, Hossein Hatefi",Individual
DIRAC TECHNOLOGY HK LIMITED,Entity
SKYLINE ADVANCED TECNOLOGIES SDN BHD,Entity
SAMAN INDUSTRIAL GROUP,Entity
"DEWANTO, Agung Surya",Individual
KAVAN ELECTRONICS BEHRAD LIMITED LIABILITY COMPANY,Entity
"MOHAMMADABADI, Mehdi Dehghani",Individual
"ARDAKANI, Gholamreza Ebrahimzadeh",Individual
SURABAYA HOBBY CV,Entity
IRANIAN ISLAMIC REVOLUTIONARY GUARD CORPS CYBER-ELECTRONIC COMMAND,Entity
"MANSURI, Milad",Individual
"HOMAYUNFAL, Hamid",Individual
"SABERIAN, Reza Mohammad Amin",Individual
"LASHGARIAN, Hamid Reza",Individual
"LASHGARIAN, Mahdi",Individual
CHINA OIL AND PETROLEUM COMPANY LIMITED,Entity
"SHIRINKAR, Mohammad Bagher",Individual
"FALAHZADEH, Mohammad Reza",Individual
"ABUTALEBI, Mohammad Sadegh",Individual
"FATEHI, Mohammad Sadegh",Individual
"ABUTALEBI, Ali Asghar",Individual
"EBRAHIMI FORUSHANI, Hamid Hajji",Individual
"SARTAJI, Abbas",Individual
"ZAVARAKI, Hadi Jamshidi",Individual
"RAMSHEH, Ali Reza Nurian",Individual
"AL-TAF, Ali Asghar",Individual
"TURANLU, Mohsen Sayyadi",Individual
"NAGHNEH, Mehdi Ghaffari",Individual
"NAHAR DANI, Reza",Individual
FATEH ASEMAN SHARIF COMPANY,Entity
"DEHGHAN, Majid",Individual
"AZIZKHANI, Esma'il",Individual
"ARAMBUNEZHAD, Hasan",Individual
"MOSHKANI, Abolfazl Ramazanzadeh",Individual
MEHRSAM ANDISHEH SAZ NIK,Entity
"RAHMAN, Reza Kazemifar",Individual
DADEH AFZAR ARMAN,Entity
"HARUNI, Hosein Mohammad",Individual
"NASAB, Alireza Shafie",Individual
"SALMANI, Komeil Baradaran",Individual
POUYA AIR,Entity
"ABDI ASJERD, Zahra",Individual
"VAHABZADEH MOGHADAM, Seyed Mohsen",Individual
"ABDI ASJERD, Abbas",Individual
BONYAN DANESH SHARGH PRIVATE COMPANY,Entity
ISLAMIC REVOLUTIONARY GUARD CORPS AIR FORCE,Entity
"AZIMI, Mohammad Nazar",Individual
"ASIABANI, Kourosh",Individual
"SHAHVARPOUR NAJAFABADI, Hassan",Individual
